Country,Population
Burundi,10199.27
Comoros,777.424
Djibouti,927.414
Eritrea,4846.976
Ethiopia,99873.033
Kenya,47236.259
Madagascar,24234.088
Malawi,17573.607
Mauritius,1259.456
Mayotte,240.02
Mozambique,28010.691
Réunion,863.363
Rwanda,11629.553
Seychelles,93.742
Somalia,13908.129
South Sudan,11882.136
Uganda,40144.87
United Republic of Tanzania,53879.957
Zambia,16100.587
Zimbabwe,15777.451
Angola,27859.305
Cameroon,22834.522
Central African Republic,4546.1
Chad,14009.413
Congo,4995.648
Democratic Republic of the Congo,76196.619
Equatorial Guinea,1175.389
Gabon,1930.175
Sao Tome and Principe,195.553
Algeria,39871.528
Egypt,93778.172
Libya,6234.955
Morocco,34803.322
Sudan,38647.803
Tunisia,11273.661
Western Sahara,526.216
Botswana,2209.197
Lesotho,2174.645
Namibia,2425.561
South Africa,55291.225
Swaziland,1319.011
Benin,10575.952
Burkina Faso,18110.624
Cabo Verde,532.913
Côte d'Ivoire,23108.472
Gambia,1977.59
Ghana,27582.821
Guinea,12091.533
Guinea-Bissau,1770.526
Liberia,4499.621
Mali,17467.905
Mauritania,4182.341
Niger,19896.965
Nigeria,181181.744
Saint Helena,4.034
Senegal,14976.994
Sierra Leone,7237.025
Togo,7416.802
